,Code
RESOURCES PRIMA GROUP LIMITED,5MM
REX INTERNATIONAL HOLDING LTD,5WH
RH PETROGAS LIMITED,T13
RHT HEALTH TRUST,RF1U
RICH CAPITAL HOLDINGS LIMITED,5G4
RIVERSTONE HOLDINGS LIMITED,AP4
ROXY-PACIFIC HOLDINGS LIMITED,E8Z
RYOBI KISO HOLDINGS LTD.,BDN
SAKAE HOLDINGS LTD.,5DO
SAMKO TIMBER LIMITED,E6R
SAMUDERA SHIPPING LINE LTD,S56
SAMURAI 2K AEROSOL LIMITED,1C3
SAN TEH LIMITED,S46
SANLI ENVIRONMENTAL LIMITED,1E3
SANTAK HOLDINGS LIMITED,580
SAPPHIRE CORPORATION LIMITED,BRD
SARINE TECHNOLOGIES LTD,U77
SATS LTD.,S58
SBI OFFSHORE LIMITED,5PL
SBS TRANSIT LTD,S61
SECOND CHANCE PROPERTIES LTD,528
SECURA GROUP LIMITED,43B
SEMBCORP INDUSTRIES LTD,U96
SEMBCORP MARINE LTD,S51
SEN YUE HOLDINGS LIMITED,5BS
SERIAL SYSTEM LTD,S69
SEROJA INVESTMENTS LIMITED,IW5
SERRANO LIMITED,40R
SEVAK LIMITED,BAI
SHANGHAI TURBO ENTERPRISES LTD,AWM
SHANGRI-LA ASIA LIMITED,S07
SHENG SIONG GROUP LTD,OV8
SHINVEST HOLDING LTD.,BJW
SHOPPER360 LIMITED,1F0
SHS HOLDINGS LTD.,566
SIA ENGINEERING CO LTD,S59
SIIC ENVIRONMENT HOLDINGS LTD.,BHK
SILKROAD NICKEL LTD.,STP
SILVERLAKE AXIS LTD,5CP
SIM LEISURE GROUP LTD.,URR
SIN GHEE HUAT CORPORATION LTD.,B7K
SIN HENG HEAVY MACHINERY LTD,BKA
SINARMAS LAND LIMITED,A26
SINCAP GROUP LIMITED,5UN
SING HOLDINGS LIMITED,5IC
SING INVESTMENTS & FINANCE LTD,S35
SINGAPORE AIRLINES LTD,C6L
SINGAPORE EDEVELOPMENT LTD,40V
SINGAPORE EXCHANGE LIMITED,S68
SINGAPORE KITCHEN EQUIPMENTLTD,5WG
SINGAPORE MEDICAL GROUP LTD,5OT
SINGAPORE MYANMAR INVESTCO LTD,Y45
SINGAPORE O&G LTD.,1D8
SINGAPORE POST LIMITED,S08
SINGAPORE PRESS HLDGS LTD,T39
SINGAPORE REINSURANCE COR LTD,S49
SINGAPORE SHIPPING CORP LTD,S19
SINGAPORE TECH ENGINEERING LTD,S63
SINGAPURA FINANCE LTD,S23
SINGHAIYI GROUP LTD.,5H0
SINGTEL,Z74
SINJIA LAND LIMITED,5HH
SINO GRANDNESS FOOD IND GP LTD,T4B
SINO TECHFIBRE LIMITED,AD8
SINOCLOUD GROUP LIMITED,5EK
SINOPIPE HOLDINGS LIMITED,X06
SINOSTAR PEC HOLDINGS LIMITED,C9Q
SINWA LIMITED,5CN
SITRA HOLDINGS (INTL) LIMITED,5LE
SK JEWELLERY GROUP LIMITED,42G
SLB DEVELOPMENT LTD.,1J0
SMJ INTERNATIONAL HOLDINGSLTD.,40B
SOILBUILD CONSTRUCTION GRP LTD,S7P
SOON LIAN HOLDINGS LIMITED,5MD
SOUP RESTAURANT GROUP LIMITED,5KI
SOUTHERN PACKAGING GROUP LTD,BQP
SP CORPORATION LIMITED,AWE
SPACKMAN ENTERTAINMENT GRP LTD,40E
SPINDEX INDUSTRIES LIMITED,564
SRI TRANG AGRO-INDUSTRY PCL,NC2
STAMFORD LAND CORPORATION LTD,H07
STAMFORD TYRES CORPORATIONLTD,S29
STAR PHARMACEUTICAL LIMITED,AYL
STARBURST HOLDINGS LIMITED,40D
STARHUB LTD,CC3
STARLAND HOLDINGS LIMITED,5UA
STRACO CORPORATION LIMITED,S85
STRAITS TRADING CO. LTD,S20
SUNMOON FOOD COMPANY LIMITED,AAJ
SUNNINGDALE TECH LTD,BHQ
SUNPOWER GROUP LTD.,5GD
SUNRIGHT LTD,S71
SUNRISE SHARES HOLDINGS LTD.,581
SUNTAR ECO-CITY LIMITED,BKZ
SUNVIC CHEMICAL HOLDINGS LTD,A7S
SUTL ENTERPRISE LIMITED,BHU
SWEE HONG LIMITED,QF6
SWIBER HOLDINGS LIMITED,BGK
SWING MEDIA TECHNOLOGY GRP LTD,BEV
SWISSCO HOLDINGS LIMITED,ADP
SYNAGIE CORPORATION LTD.,V2Y
SYSMA HOLDINGS LIMITED,5UO
TA CORPORATION LTD,PA3
TAI SIN ELECTRIC LIMITED,500
TALKMED GROUP LIMITED,5G3
TAT SENG PACKAGING GROUP LTD,T12
TECHCOMP (HOLDINGS) LIMITED,T43
TECHNICS OIL & GAS LIMITED,5CQ
TECKWAH INDUSTRIAL CORP LTD,561
TEE INTERNATIONAL LIMITED,M1Z
TEE LAND LIMITED,S9B
TEHO INTERNATIONAL INC LTD.,5OQ
TELECHOICE INTERNATIONAL LTD,T41
THAI BEVERAGE PUBLIC CO LTD,Y92
THAKRAL CORPORATION LTD,AWI
THE HOUR GLASS LIMITED,AGS
THE PLACE HOLDINGS LIMITED,E27
THE STRATECH GROUP LIMITED,BRR
THE TRENDLINES GROUP LTD.,42T
THOMSON MEDICAL GROUP LIMITED,A50
TIANJIN ZHONG XIN PHARM GROUP,T14
TIH LIMITED,T55
TIONG SENG HOLDINGS LIMITED,BFI
TIONG WOON CORP HOLDING LTD,BQM
TLV HOLDINGS LIMITED,42L
TOP GLOBAL LIMITED,BHO
TOP GLOVE CORPORATION BHD,BVA
TOSEI CORPORATION,S2D
TPV TECHNOLOGY LIMITED,T18
TRANSCORP HOLDINGS LIMITED,T19
TRANSIT-MIXED CONCRETE LTD,570
TRAVELITE HOLDINGS LTD.,BCZ
TREK 2000 INT'L LTD,5AB
TRITECH GROUP LIMITED,5G9
TRIYARDS HOLDINGS LIMITED,RC5
TSH CORPORATION LTD,KUH
TT INTERNATIONAL LIMITED,T09
TTJ HOLDINGS LIMITED,K1Q
TUAN SING HOLDINGS LIMITED,T24
TUNG LOK RESTAURANTS 2000 LTD,540
TYE SOON LTD,BFU
UG HEALTHCARE CORPORATION LTD,41A
UMS HOLDINGS LIMITED,558
UNI-ASIA GROUP LIMITED,CHJ
UNION GAS HOLDINGS LIMITED,1F2
